economy,current_account_gdp,fdi_net_inflows_gdp,external_debt_gni,total_reserves,inflation,gdp_growth,year
CHN,0.170563391928727,1.66361992284408,13.9248882428061,3168216331199.08,2.07479039965576,6.75671800166833,2018
CHN,0.706790487310518,1.28549226847992,14.5601860956403,3222894578036.36,2.89923416358227,6.06850235053705,2019
CHN,1.65930095801393,1.68770756292082,15.634535209813,3357240875433.71,2.41942189457782,2.34018843078414,2020
CHN,1.93875176197337,1.8903454142588,15.0703683293598,3427931394628.85,0.981015135544882,8.57008513166322,2021
CHN,2.42059259149418,1.03841365474349,13.9317634143876,3306839412813.78,1.97357555739051,3.1341888719577,2022
CHN,1.4415829879426,0.280991103634816,13.50675136222,3449544415518.98,0.234836828893051,5.41484330099675,2023
DEU,8.09671429040111,1.82239938063641,,173730930555.425,0.514426137125456,1.66300602334775,2015
DEU,8.9023603683727,1.64365840117303,,184031339953.397,0.491747008445174,2.22222216259371,2016
DEU,8.07873526112888,2.88914588414184,,199983070123.869,1.50949485109628,2.797906720551,2017
DEU,8.43761219902202,4.00082875273687,,198027061675.403,1.73216879766942,1.13569604599849,2018
DEU,7.87471222403171,1.9056930139782,,224027961016.415,1.44565976888253,0.977734697038784,2019
DEU,6.34782686016016,4.48523547812751,,268408603348.679,0.144877925813982,-4.13191443239947,2020
DEU,6.9200696637534,2.93002168676674,,295736219413.597,3.06666666666673,3.90999994204108,2021
DEU,3.85045627175846,2.07605246190373,,293913690186.797,6.87257438551097,1.8092581243061,2022
DEU,5.51222510245724,1.69740103499567,,322700066274.527,5.94643667725823,-0.869647578573321,2023
EGY,-5.23529137853431,2.10258128401326,15.4090910799379,15858887325.7756,10.370490343517,4.37201907790141,2015
EGY,-6.16465951871263,2.43856278142762,21.0959884446522,23642691705.9678,13.813606214829,4.34664345555447,2016
EGY,-3.19681566782461,2.98301550917695,34.6961018574758,36400242555.8255,29.5066083940039,4.18122099994778,2017
EGY,-2.93164483711978,3.10040077579187,38.8036123837843,41839242990.7097,14.4014657807422,5.3311086189448,2018
EGY,-3.20758543154937,2.82732944960686,37.3486377137165,44568837112.0669,9.15279959324804,5.55209307156956,2019
